environment,num_nodes,protocol,n,pdr_mean,pdr_std,ci95_half_width
outdoor_suburban,200,PEGASIS,3200,0.540538,0.044342,0.001536
outdoor_suburban,200,HEED,3200,0.139790,0.015775,0.000547
outdoor_suburban,200,TEEN,3200,0.302111,0.014551,0.000504
outdoor_suburban,300,AERIS,3200,0.958336,0.007130,0.000247
outdoor_suburban,300,LEACH,3200,0.081694,0.007103,0.000246
outdoor_suburban,300,PEGASIS,3200,0.541043,0.030610,0.001061
outdoor_suburban,300,HEED,3200,0.100680,0.008649,0.000300
outdoor_suburban,300,TEEN,3200,0.220760,0.011979,0.000415
outdoor_suburban,500,AERIS,3200,0.919130,0.018133,0.000628
outdoor_suburban,500,LEACH,3200,0.033882,0.002204,0.000076
outdoor_suburban,500,PEGASIS,3200,0.534909,0.077480,0.002685
outdoor_suburban,500,HEED,3200,0.046678,0.003232,0.000112
outdoor_suburban,500,TEEN,3200,0.103015,0.007191,0.000249
outdoor_suburban,800,AERIS,3200,0.798525,0.026847,0.000930
outdoor_suburban,800,LEACH,3200,0.018143,0.000603,0.000021
outdoor_suburban,800,PEGASIS,3200,0.500327,0.114816,0.003978
outdoor_suburban,800,HEED,3200,0.016289,0.001156,0.000040
outdoor_suburban,800,TEEN,3200,0.027060,0.002638,0.000091
outdoor_suburban,1000,AERIS,3200,0.727533,0.032389,0.001122
outdoor_suburban,1000,LEACH,3200,0.015975,0.000352,0.000012
outdoor_suburban,1000,PEGASIS,3200,0.472524,0.123536,0.004280
outdoor_suburban,1000,HEED,3200,0.008779,0.000725,0.000025
outdoor_suburban,1000,TEEN,3200,0.010630,0.001250,0.000043
