environment,num_nodes,variant,full_mean,variant_mean,delta_points,full_std,variant_std,n,hedges_g,t_stat,p_raw,p_holm,significant_005
indoor_office,1000,AERIS-noFair,0.914037,0.912733,-0.1303,0.003653,0.002983,30,0.385787,1.513806,0.13007509206626316,1.0,NO
outdoor_suburban,50,AERIS-noGW,0.78731,0.715553,-7.1757,0.012107,0.02078,30,4.164709,16.342083,4.953102233974562e-60,3.417640541442448e-58,YES
outdoor_suburban,50,AERIS-noCAS,0.78731,0.799457,1.2147,0.012107,0.013019,30,-0.953691,-3.742231,0.00018239375750755848,0.0096668691479006,YES
outdoor_suburban,50,AERIS-noFair,0.78731,0.78709,-0.022,0.012107,0.012262,30,0.017821,0.069929,0.9442500597438804,1.0,NO
outdoor_suburban,100,AERIS-noGW,0.78005,0.700387,-7.9663,0.008494,0.015872,30,6.176905,24.237827,8.886415726275257e-130,6.664811794706443e-128,YES
outdoor_suburban,100,AERIS-noCAS,0.78005,0.786103,0.6053,0.008494,0.008915,30,-0.686174,-2.692508,0.0070916854540112794,0.3404009017925414,NO
outdoor_suburban,100,AERIS-noFair,0.78005,0.777673,-0.2377,0.008494,0.007061,30,0.300326,1.178464,0.23861176768496087,1.0,NO
outdoor_suburban,200,AERIS-noGW,0.773263,0.695537,-7.7727,0.005787,0.009753,30,9.566539,37.538561,2.165295490217018e-308,1.688930482369274e-306,YES
outdoor_suburban,200,AERIS-noCAS,0.773263,0.782993,0.973,0.005787,0.006842,30,-1.515587,-5.947079,2.729692132441661e-09,1.6378152794649966e-07,YES
outdoor_suburban,200,AERIS-noFair,0.773263,0.772643,-0.062,0.005787,0.005194,30,0.111295,0.436715,0.6623181159752749,1.0,NO
outdoor_suburban,300,AERIS-noGW,0.772147,0.69448,-7.7667,0.004062,0.01029,30,9.799301,38.451907,2e-323,1.56e-321,YES
outdoor_suburban,300,AERIS-noCAS,0.772147,0.776637,0.449,0.004062,0.004238,30,-1.067717,-4.18966,2.793723516216499e-05,0.0015644851690812395,YES
outdoor_suburban,300,AERIS-noFair,0.772147,0.771683,-0.0463,0.004062,0.004581,30,0.10563,0.414487,0.6785173091346686,1.0,NO
outdoor_suburban,500,AERIS-noGW,0.768987,0.695883,-7.3103,0.004322,0.006109,30,13.635408,53.504574,0.0,0.0,YES
outdoor_suburban,500,AERIS-noCAS,0.768987,0.776593,0.7607,0.004322,0.004277,30,-1.746138,-6.851746,7.29539768760297e-12,4.523146566313842e-10,YES
outdoor_suburban,500,AERIS-noFair,0.768987,0.772797,0.381,0.004322,0.00458,30,-0.844502,-3.313779,0.0009204424413833187,0.047863006951932574,YES
outdoor_suburban,800,AERIS-noGW,0.770593,0.694817,-7.5777,0.003311,0.005459,30,16.56635,65.005422,0.0,0.0,YES
outdoor_suburban,800,AERIS-noCAS,0.770593,0.777737,0.7143,0.003311,0.004238,30,-1.854008,-7.275023,3.4636223750480443e-13,2.182082096280268e-11,YES
outdoor_suburban,800,AERIS-noFair,0.770593,0.77005,-0.0543,0.003311,0.00386,30,0.149123,0.585151,0.5584459397925645,1.0,NO
outdoor_suburban,1000,AERIS-noGW,0.769537,0.69452,-7.5017,0.004047,0.004414,30,17.484843,68.609539,0.0,0.0,YES
outdoor_suburban,1000,AERIS-noCAS,0.769537,0.775233,0.5697,0.004047,0.00357,30,-1.473442,-5.781704,7.394782657301839e-09,4.362921767808085e-07,YES
outdoor_suburban,1000,AERIS-noFair,0.769537,0.769153,-0.0383,0.004047,0.003378,30,0.101501,0.398285,0.6904197673856449,1.0,NO
outdoor_urban,50,AERIS-noGW,0.204373,0.204617,0.0243,0.023203,0.021957,30,-0.010632,-0.041721,0.966720990161679,1.0,NO
outdoor_urban,50,AERIS-noCAS,0.204373,0.196547,-0.7827,0.023203,0.021165,30,0.347861,1.364987,0.17225720612080675,1.0,NO
outdoor_urban,50,AERIS-noFair,0.204373,0.20041,-0.3963,0.023203,0.025472,30,0.16056,0.630028,0.5286763587945316,1.0,NO
outdoor_urban,100,AERIS-noGW,0.20902,0.19993,-0.909,0.017197,0.01862,30,0.500593,1.964299,0.04949540983093123,1.0,NO
outdoor_urban,100,AERIS-noCAS,0.20902,0.193523,-1.5497,0.017197,0.013983,30,0.975922,3.829464,0.0001284225843489186,0.007063242139190523,YES
outdoor_urban,100,AERIS-noFair,0.20902,0.200513,-0.8507,0.017197,0.016087,30,0.504231,1.978574,0.04786403066987605,1.0,NO
outdoor_urban,200,AERIS-noGW,0.201083,0.195993,-0.509,0.008469,0.011251,30,0.504539,1.979784,0.04772781261938322,1.0,NO
outdoor_urban,200,AERIS-noCAS,0.201083,0.193867,-0.7217,0.008469,0.012552,30,0.665261,2.610445,0.009042447865571953,0.4249950496818818,NO
outdoor_urban,200,AERIS-noFair,0.201083,0.19934,-0.1743,0.008469,0.009126,30,0.195456,0.76696,0.4431053974527903,1.0,NO
outdoor_urban,300,AERIS-noGW,0.199713,0.194517,-0.5197,0.008992,0.010107,30,0.536201,2.104022,0.03537652944336936,1.0,NO
