environment,num_nodes,aeris_mean,best_baseline,best_baseline_mean,gap_pp,gap_ci95_pp,classical_rank,all_rank
indoor_office,50,0.9362399999999999,RPL-MRHOF,0.9999933333333334,-6.375333333333355,0.1528168294677727,2,4
indoor_office,100,0.9203633333333333,RPL-MRHOF,1.0,-7.9636666666666684,0.10032215965581869,2,4
indoor_office,200,0.9165633333333335,RPL-MRHOF,1.0,-8.34366666666665,0.11204100149881865,2,4
indoor_office,300,0.9155466666666665,RPL-MRHOF,1.0,-8.445333333333348,0.11963894761729219,2,4
indoor_office,500,0.9135666666666666,RPL-MRHOF,1.0,-8.643333333333336,0.10858598175156016,2,4
indoor_office,800,0.91346,RPL-MRHOF,1.0,-8.653999999999995,0.10545547860503054,2,4
indoor_office,1000,0.9134,RPL-MRHOF,1.0,-8.66,0.09340452916730257,2,4
indoor_factory,50,0.6127366666666667,RPL-MRHOF,0.6103933333333333,0.2343333333333364,1.2881815563360202,1,1
indoor_factory,100,0.6002333333333334,RPL-MRHOF,0.6132666666666666,-1.303333333333323,0.8685980478362708,1,3
indoor_factory,200,0.5962866666666667,RPL-MRHOF,0.6097733333333333,-1.3486666666666536,0.6192566633809947,1,3
indoor_factory,300,0.59567,RPL-MRHOF,0.6084400000000001,-1.277000000000006,0.41769423244293424,1,3
indoor_factory,500,0.5930433333333334,RPL-MRHOF,0.6081333333333333,-1.5089999999999937,0.3417157321068912,1,3
indoor_factory,800,0.5939466666666667,RPL-MRHOF,0.6106999999999999,-1.6753333333333176,0.31136270706395075,1,3
indoor_factory,1000,0.5921533333333335,RPL-MRHOF,0.61002,-1.7866666666666475,0.2522521432479416,1,3
outdoor_suburban,50,0.7919899999999999,RPL-MRHOF,0.7696133333333335,2.237666666666638,0.918618079775497,1,1
outdoor_suburban,100,0.7773866666666667,RPL-MRHOF,0.77129,0.6096666666666639,0.612913953296541,1,1
outdoor_suburban,200,0.7741000000000002,RPL-MRHOF,0.7702099999999998,0.3890000000000393,0.4419717701912391,1,1
outdoor_suburban,300,0.7724299999999998,RPL-MRHOF,0.7682800000000002,0.4149999999999654,0.3276401022709094,1,1
outdoor_suburban,500,0.7701333333333333,RPL-MRHOF,0.7684533333333333,0.16800000000000148,0.2527277097765275,1,1
outdoor_suburban,800,0.7712466666666667,RPL-MRHOF,0.7704999999999999,0.07466666666668953,0.23808797580674831,1,1
outdoor_suburban,1000,0.7696566666666667,RPL-MRHOF,0.7697733333333332,-0.01166666666665428,0.19847073601517723,1,2
outdoor_urban,50,0.20972333333333332,RPL-MRHOF,0.2564966666666667,-4.677333333333339,1.464098893609376,1,3
outdoor_urban,100,0.20594,RPL-MRHOF,0.2634166666666667,-5.747666666666667,0.8705028378403614,1,3
outdoor_urban,200,0.20159,RPL-MRHOF,0.2592866666666667,-5.769666666666673,0.6804814890577051,1,3
outdoor_urban,300,0.20127333333333333,RPL-MRHOF,0.2588066666666667,-5.753333333333336,0.47839718288743716,1,3
outdoor_urban,500,0.1997,RPL-MRHOF,0.25803666666666664,-5.833666666666665,0.3756612597312043,1,3
outdoor_urban,800,0.2000633333333334,RPL-MRHOF,0.25986,-5.979666666666658,0.3262781528728911,1,3
outdoor_urban,1000,0.1992466666666667,RPL-MRHOF,0.2599633333333333,-6.071666666666661,0.24926579173698943,1,3
