protocol,environment,num_nodes,n,pdr_mean,pdr_std
AERIS-noGW,outdoor_suburban,500,30,0.695883,0.006109
AERIS-noGW,outdoor_suburban,800,30,0.694817,0.005459
AERIS-noGW,outdoor_suburban,1000,30,0.69452,0.004414
AERIS-noGW,outdoor_urban,50,30,0.204617,0.021957
AERIS-noGW,outdoor_urban,100,30,0.19993,0.01862
AERIS-noGW,outdoor_urban,200,30,0.195993,0.011251
AERIS-noGW,outdoor_urban,300,30,0.194517,0.010107
AERIS-noGW,outdoor_urban,500,30,0.197293,0.007883
AERIS-noGW,outdoor_urban,800,30,0.196733,0.005397
AERIS-noGW,outdoor_urban,1000,30,0.196143,0.005388
