environment,protocol,n_hops,hops_mean,hops_std,n_pdr,pdr_mean,pdr_std
indoor_office,AERIS,30,1.9917814815067219,0.00729128310282671,30,0.9738863980045156,0.004756344562558053
indoor_office,LEACH,30,1.8223317082497852,0.026536551414961917,30,0.5542766666666666,0.04074728785370813
indoor_office,PEGASIS,30,33.60624473106416,0.626841279935635,30,0.9077653692272476,0.016836233501087938
indoor_office,HEED,30,2.0,0.0,30,0.9371097764340146,0.007688522733316061
indoor_office,TEEN,30,1.2847176523521542,0.037336273568111374,30,0.8221979617310764,0.004505922835442588
indoor_factory,AERIS,30,1.9689379668785465,0.02173672298114783,30,0.6030968399948372,0.026198834169836576
indoor_factory,LEACH,30,1.7086343621939395,0.04787105866527628,30,0.16140000000000002,0.0212881363899674
indoor_factory,PEGASIS,30,32.146247823450125,1.9369534919914053,30,0.1928182408735364,0.0259448845127178
indoor_factory,HEED,30,2.0,0.0,30,0.2326325406357163,0.026775831056631658
indoor_factory,TEEN,30,1.2857702740729793,0.048844705432995135,30,0.31129815880028017,0.024944221728363147
outdoor_urban,AERIS,30,1.9657012145889516,0.015606961574425586,30,0.3745108562869431,0.035977040928568654
outdoor_urban,LEACH,30,1.5451421889107948,0.07729785707882592,30,0.05524,0.012913094129603484
outdoor_urban,PEGASIS,30,31.350023675932615,2.6507997995165384,30,0.05419687071311665,0.011855801921242384
outdoor_urban,HEED,30,2.0,0.0,30,0.06350430032865854,0.012347478164678464
outdoor_urban,TEEN,30,1.230666754038516,0.05411982251885204,30,0.12014813164329773,0.018645545514060016
outdoor_suburban,AERIS,30,1.9751439360289638,0.02092462794365459,30,0.7451257324410511,0.01960137631552154
outdoor_suburban,LEACH,30,1.7676887102498708,0.03635286155923272,30,0.27033888888888885,0.027669498654854293
outdoor_suburban,PEGASIS,30,32.3953428261381,1.5492322206061369,30,0.3382442437038233,0.033484424618270926
outdoor_suburban,HEED,30,2.0,0.0,30,0.4220839686804874,0.03180187206279899
outdoor_suburban,TEEN,30,1.3023069173561133,0.04847172378730386,30,0.47515427749994277,0.0240287969416686
