environment,protocol,n,energy_mean,energy_std,lifetime_mean,lifetime_std,fnd_mean,fnd_std,pdr_mean
indoor_office,AERIS,30,105.94901288701642,4.710262986308985,213.3,21.83977706088058,32.8,8.201765999907666,0.9738863980045156
indoor_office,LEACH,30,165.46390018477408,4.208855640556284,300.0,0.0,0.0,0.0,0.5542766666666666
indoor_office,PEGASIS,30,137.67540203174772,5.674245547751496,300.0,0.0,70.63333333333334,87.02852617283654,0.9077653692272476
indoor_office,HEED,30,165.51646266526873,5.376271701097104,300.0,0.0,11.4,3.838102979696952,0.9371097764340146
indoor_office,TEEN,30,159.01155164398386,5.627674694195965,299.0,0.0,0.0,0.0,0.8221979617310764
indoor_factory,AERIS,30,136.69234547941835,3.9518446551810524,222.83333333333334,14.769687815283016,9.8,6.999507371828097,0.6030968399948372
indoor_factory,LEACH,30,165.41226384355554,4.120979819456207,300.0,0.0,0.0,0.0,0.16140000000000002
indoor_factory,PEGASIS,30,137.58240309164623,5.7117059290357375,300.0,0.0,70.66666666666667,87.08788004409519,0.1928182408735364
indoor_factory,HEED,30,165.21821500049992,5.67791167159414,300.0,0.0,11.4,3.838102979696952,0.2326325406357163
indoor_factory,TEEN,30,159.48343039164953,5.605328072960407,299.0,0.0,0.0,0.0,0.31129815880028017
outdoor_urban,AERIS,30,155.08024499172507,9.523291172263683,201.06666666666666,10.197813603849138,2.7333333333333334,1.8742048122232846,0.3745108562869431
outdoor_urban,LEACH,30,165.33538360195058,4.243453662386516,300.0,0.0,0.0,0.0,0.05524
outdoor_urban,PEGASIS,30,137.38098369423275,5.716363236680367,300.0,0.0,70.76666666666667,87.33948166477326,0.05419687071311665
outdoor_urban,HEED,30,164.89782034550842,5.554197947039199,300.0,0.0,11.4,3.838102979696952,0.06350430032865854
outdoor_urban,TEEN,30,159.9785019924497,5.571684687555157,299.0,0.0,0.0,0.0,0.12014813164329773
outdoor_suburban,AERIS,30,126.50080894858739,5.162060911221529,224.96666666666667,20.6422454895434,17.666666666666668,6.110100926607787,0.7451257324410511
outdoor_suburban,LEACH,30,165.44604090923664,4.256474245136153,300.0,0.0,0.0,0.0,0.27033888888888885
outdoor_suburban,PEGASIS,30,137.65302108480813,5.710809132088893,300.0,0.0,70.66666666666667,87.08788004409519,0.3382442437038233
outdoor_suburban,HEED,30,165.31308636888008,5.488094393901938,300.0,0.0,11.4,3.838102979696952,0.4220839686804874
outdoor_suburban,TEEN,30,159.21313971941342,5.622993070850686,299.0,0.0,0.0,0.0,0.47515427749994277
