r_prob,delta_dbm,energy_mean,energy_ci95,pdr_end2end_mean,pdr_end2end_ci95,pdr_end2end_p05_mean,pdr_end2end_p05_ci95
0.25,1.0,52.0680,5.6941,0.7919,0.0110,0.0000,0.0000
0.25,2.0,52.2895,5.2606,0.8179,0.0203,0.0000,0.0000
0.5,1.0,51.8260,5.3570,0.8058,0.0202,0.0000,0.0000
0.5,2.0,52.2208,5.1829,0.8080,0.0102,0.0000,0.0000
1.0,1.0,52.0365,5.0346,0.8282,0.0196,0.0000,0.0000
1.0,2.0,52.8100,5.1019,0.8421,0.0182,0.0000,0.0000
