environment,num_nodes,protocol,n,pdr_mean,pdr_std
indoor_office,100,AERIS,1000,0.994724638913021,0.0023694674356214054
indoor_office,100,LEACH,1000,0.5807664,0.04069693699296666
indoor_office,100,PEGASIS,1000,0.9090356048425006,0.017214760781250053
indoor_office,100,HEED,1000,0.9367731392620694,0.007974940741937846
indoor_office,100,TEEN,1000,0.8200662183197155,0.0047347105051123665
indoor_office,200,AERIS,1000,0.9902923500785386,0.0027962517430871513
indoor_office,200,LEACH,1000,0.6169587333333334,0.027419755510885237
indoor_office,200,PEGASIS,1000,0.9096559708103659,0.017907100979664508
indoor_office,200,HEED,1000,0.9252531763002739,0.0075215749217852285
indoor_office,200,TEEN,1000,0.8183533443707951,0.0038790889149960214
indoor_office,300,AERIS,1000,0.9895727820122738,0.0020851999173438973
indoor_office,300,LEACH,1000,0.622986388888889,0.022709295726763865
indoor_office,300,PEGASIS,1000,0.9089895297181041,0.01660363787619467
indoor_office,300,HEED,1000,0.919518105074341,0.00687928930872156
indoor_office,300,TEEN,1000,0.8159898155036801,0.0036030849625054663
indoor_office,500,AERIS,1000,0.9902228761943345,0.0015163907410329987
indoor_office,500,LEACH,1000,0.6264883066666667,0.017375271409879243
indoor_office,500,PEGASIS,1000,0.909067360487219,0.02331699850502909
indoor_office,500,HEED,1000,0.9136580910215387,0.006342762381289772
indoor_office,500,TEEN,1000,0.8112900310263674,0.003236698247384914
indoor_office,800,AERIS,1000,0.9902511708735839,0.0014816588526981762
indoor_office,800,LEACH,1000,0.6279438875000001,0.013344317606783299
indoor_office,800,PEGASIS,1000,0.9014146133743423,0.02938067392731804
indoor_office,800,HEED,1000,0.9003324823642291,0.06045228866409741
indoor_office,800,TEEN,1000,0.8058411206049005,0.002919361646635298
indoor_office,1000,AERIS,1000,0.9898821932992292,0.0013891886298505595
indoor_office,1000,LEACH,1000,0.62824361,0.012447232852960455
indoor_office,1000,PEGASIS,1000,0.8941774179503841,0.03257202156524785
indoor_office,1000,HEED,1000,0.8915184665543365,0.00630929055957573
indoor_office,1000,TEEN,1000,0.8032164071162934,0.0026772018051805344
outdoor_urban,100,AERIS,1000,0.7558843916777105,0.01589364668193942
outdoor_urban,100,LEACH,1000,0.052056533333333335,0.011488376933429915
outdoor_urban,100,PEGASIS,1000,0.05364914969049118,0.013468634545112658
outdoor_urban,100,HEED,1000,0.05687521311698538,0.010480529231429468
outdoor_urban,100,TEEN,1000,0.11087591721744465,0.015256288223770712
outdoor_urban,200,AERIS,1000,0.7954635946674621,0.010117519494252157
outdoor_urban,200,LEACH,1000,0.0531553,0.007877138729125648
outdoor_urban,200,PEGASIS,1000,0.05842666077272439,0.015382972964861203
outdoor_urban,200,HEED,1000,0.04296182425486357,0.006434420637560374
outdoor_urban,200,TEEN,1000,0.09670106815714044,0.009879531376169723
outdoor_urban,300,AERIS,1000,0.8178541993165522,0.008715914269259271
outdoor_urban,300,LEACH,1000,0.05523106666666666,0.006550295969564569
outdoor_urban,300,PEGASIS,1000,0.06285550899775295,0.013048080328208323
outdoor_urban,300,HEED,1000,0.038612278253012784,0.004982965792161368
outdoor_urban,300,TEEN,1000,0.08689837989598848,0.0078038360007383
outdoor_urban,500,AERIS,1000,0.8454888738175803,0.007970235000848697
outdoor_urban,500,LEACH,1000,0.05811836666666666,0.005421572250443397
outdoor_urban,500,PEGASIS,1000,0.06338683896041543,0.02647887871273763
outdoor_urban,500,HEED,1000,0.03569705962362374,0.0037033496455450717
outdoor_urban,500,TEEN,1000,0.07497367421381199,0.005717456503271403
outdoor_urban,800,AERIS,1000,0.8750127983109903,0.005442007133333223
outdoor_urban,800,LEACH,1000,0.06098825833333334,0.004268126533599391
outdoor_urban,800,PEGASIS,1000,0.056550899593856174,0.03642030445349234
outdoor_urban,800,HEED,1000,0.034461319690925196,0.0031447139718212037
outdoor_urban,800,TEEN,1000,0.0679622390052206,0.004528236129647664
outdoor_urban,1000,AERIS,1000,0.8846010429433525,0.004929768540149087
outdoor_urban,1000,LEACH,1000,0.06223455666666666,0.003837957902015932
outdoor_urban,1000,PEGASIS,1000,0.04969724055385011,0.03798810520057707
outdoor_urban,1000,HEED,1000,0.03408913516310435,0.002880577503095121
outdoor_urban,1000,TEEN,1000,0.06623080256647627,0.004121939019914886
outdoor_suburban,100,AERIS,1000,0.9746908290977901,0.003944870852532118
outdoor_suburban,100,LEACH,1000,0.2772978333333333,0.02916160954823423
outdoor_suburban,100,PEGASIS,1000,0.33709251309575117,0.03513306578125865
outdoor_suburban,100,HEED,1000,0.4094888973005436,0.028712369611613282
outdoor_suburban,100,TEEN,1000,0.46577758629326477,0.02292205093259845
outdoor_suburban,200,AERIS,1000,0.9805422818983863,0.0032300434855376185
outdoor_suburban,200,LEACH,1000,0.29226030000000003,0.020852654157894675
outdoor_suburban,200,PEGASIS,1000,0.34147913111829326,0.039215695367359284
outdoor_suburban,200,HEED,1000,0.3670195772410193,0.022072079290285745
outdoor_suburban,200,TEEN,1000,0.44723174510023544,0.01736976354605218
outdoor_suburban,300,AERIS,1000,0.9841446666610882,0.002350166407729201
outdoor_suburban,300,LEACH,1000,0.29805145555555557,0.017281061499460994
