table_id,row_key,metric,manuscript,source,abs_diff,tolerance,status,source_file
tab:ablation_gateway,indoor_office,delta,0.0002,0.0002,0,0.00015,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,indoor_factory,full_mean,0.6031,0.6031,0,5e-05,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,indoor_factory,full_std_population,0.0258,0.0258,0,5e-05,WARN,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,indoor_factory,nogw_mean,0.5806,0.5806,0,5e-05,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,indoor_factory,nogw_std_population,0.0215,0.0215,0,5e-05,WARN,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,indoor_factory,delta,-0.0225,-0.0225,0,0.00015,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_urban,full_mean,0.3745,0.3745,0,5e-05,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_urban,full_std_population,0.0354,0.0354,0,5e-05,WARN,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_urban,nogw_mean,0.3534,0.3534,0,5e-05,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_urban,nogw_std_population,0.0301,0.0301,0,5e-05,WARN,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_urban,delta,-0.0212,-0.0211,0.0001,0.00015,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_suburban,full_mean,0.7451,0.7451,0,5e-05,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_suburban,full_std_population,0.0193,0.0193,0,5e-05,WARN,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_suburban,nogw_mean,0.7306,0.7306,0,5e-05,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_suburban,nogw_std_population,0.0264,0.0264,0,5e-05,WARN,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:ablation_gateway,outdoor_suburban,delta,-0.0146,-0.0145,0.0001,0.00015,PASS,results\mega_experiments\ablation_diag_multi_20260207_205448.json
tab:scale1000,indoor_office::AERIS,pdr_mean,0.9899,0.9899,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_office::LEACH,pdr_mean,0.9902,0.9902,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_office::PEGASIS,pdr_mean,0.9991,0.9991,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_office::HEED,pdr_mean,0.9911,0.9911,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_office::TEEN,pdr_mean,0.9922,0.9922,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_factory::AERIS,pdr_mean,0.9725,0.9725,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_factory::LEACH,pdr_mean,0.1888,0.1888,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_factory::PEGASIS,pdr_mean,0.1619,0.1618,0.0001,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_factory::HEED,pdr_mean,0.1631,0.1631,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,indoor_factory::TEEN,pdr_mean,0.2196,0.2196,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_urban::AERIS,pdr_mean,0.8849,0.8849,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_urban::LEACH,pdr_mean,0.0623,0.0623,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_urban::PEGASIS,pdr_mean,0.0487,0.0487,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_urban::HEED,pdr_mean,0.0341,0.0341,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_urban::TEEN,pdr_mean,0.0664,0.0664,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_suburban::AERIS,pdr_mean,0.99,0.99,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_suburban::LEACH,pdr_mean,0.5952,0.5952,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_suburban::PEGASIS,pdr_mean,0.7866,0.7866,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_suburban::HEED,pdr_mean,0.5544,0.5544,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:scale1000,outdoor_suburban::TEEN,pdr_mean,0.6899,0.6899,0,0.00015,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_descriptive.csv
tab:robust_snapshot,indoor_office::n100,diff,0.004548,0.004548,0,5e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n100,hedges_g,2.3398,2.3398,0,5e-05,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n100,holm_p,1.32e-207,1.317416e-207,2.584e-210,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n100,significant_yes_no,1,1,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n500,diff,-0.00013,-0.00013,0,5e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n500,hedges_g,-0.1009,-0.1009,0,5e-05,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n500,holm_p,0.0946,0.09456591,3.409e-05,0.001892,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n500,significant_yes_no,0,0,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n1000,diff,-0.000286,-0.000286,0,5e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n1000,hedges_g,-0.2673,-0.2673,0,5e-05,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n1000,holm_p,1.05e-05,1.045521e-05,4.479e-08,2.1e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_office::n1000,significant_yes_no,1,1,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_factory::n1000,diff,0.783773,0.783773,0,5e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_factory::n1000,hedges_g,151.3826,151.3826,0,5e-05,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_factory::n1000,holm_p_lt_1e-300,0,0,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,indoor_factory::n1000,significant_yes_no,1,1,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_urban::n1000,diff,0.822585,0.822585,0,5e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_urban::n1000,hedges_g,181.4951,181.4951,0,5e-05,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_urban::n1000,holm_p_lt_1e-300,0,0,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_urban::n1000,significant_yes_no,1,1,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_suburban::n1000,diff,0.394856,0.394856,0,5e-07,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_suburban::n1000,hedges_g,65.3769,65.3769,0,5e-05,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_suburban::n1000,holm_p_lt_1e-300,0,0,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
tab:robust_snapshot,outdoor_suburban::n1000,significant_yes_no,1,1,0,1e-12,PASS,results\mega_experiments\scalability_4env_mixed_20260213_s11_significance.csv
